ACCION RECOMENDADA,CLASE,VISTAS,TITULO,FECHA,ENGAGEMENT %,RAZON,VER VIDEO,EDITAR EN STUDIO
PONER EN PRIVADO,desconectado,3120,El secreto para vivir hasta los 111 años,2025-08-13,7.66,"Consejo de longevidad estilo salud/autoayuda sin marco de misterio ni conspiracion; 3k vistas, aporta poco y desdibuja la senal del canal.",https://www.youtube.com/watch?v=lPSmJ6T-hJE,https://studio.youtube.com/video/lPSmJ6T-hJE/edit
PONER EN PRIVADO,desconectado,2661,Descubre el Secreto de las Curaciones Herbales: Verdad o Engaño,2024-07-13,11.387,"Short de 25s sobre remedios herbales estilo wellness, sin angulo de misterio ni volumen (2.6k vistas): confunde la senal del canal y no cuesta nada retirarlo.",https://www.youtube.com/watch?v=W3M-8_XBRec,https://studio.youtube.com/video/W3M-8_XBRec/edit
MOVER A CANAL HERMANO,desconectado,500914,Que Significa Soñar Con AGUA - El Significado de los sueños,2017-08-13,0.759,"Interpretacion de sueños es esoterismo de consulta, no documental de misterio: es contenido exacto para El Oraculo; sus 500k vistas justifican migrar el tema, no replicar el formato aqui.",https://www.youtube.com/watch?v=QcqQRxU8ZDI,https://studio.youtube.com/video/QcqQRxU8ZDI/edit
MOVER A CANAL HERMANO,desconectado,57156,"PROTEGEME DEL FIRE, vídeo musical, el DoQmentalista, (Comagno) VIDEO OFICIAL",2020-03-02,4.024,Es un video musical oficial sin marco de misterio: pertenece exactamente a El DoQmentalista Music.,https://www.youtube.com/watch?v=aVNFzbVV8BY,https://studio.youtube.com/video/aVNFzbVV8BY/edit
MOVER A CANAL HERMANO,desconectado,22976,Mexicanos Al Grito de Guerra 🇲🇽 | Himno Patriótico 2025 - El DoQmentalista (Canción Original),2025-02-16,8.269,"Cancion patriotica original sin marco de misterio: pertenece a El DoQmentalista Music, aqui rompe la coherencia del catalogo.",https://www.youtube.com/watch?v=SA8QAlZD5iM,https://studio.youtube.com/video/SA8QAlZD5iM/edit
MOVER A CANAL HERMANO,desconectado,22503,"Canción ""Padre"" - Un Viaje Musical y Emocional",2024-10-02,4.888,"Es una cancion de 3:46 sin marco de misterio; pertenece a El DoQmentalista Music y aqui rompe la expectativa del suscriptor de documentales.",https://www.youtube.com/watch?v=aeX-VyseDtg,https://studio.youtube.com/video/aeX-VyseDtg/edit
MOVER A CANAL HERMANO,desconectado,4895,El Santo de Internet #shorts #carloacutis #santo,2025-09-10,2.329,"Segundo short devocional de Carlo Acutis con engagement de 2.3% (mitad de la mediana): la audiencia de misterio no lo quiere, la de Soy De Dios si.",https://www.youtube.com/watch?v=gJY57xLVAYA,https://studio.youtube.com/video/gJY57xLVAYA/edit
MOVER A CANAL HERMANO,desconectado,3094,Santo Adolescente #shorts #carloacutis,2025-09-12,5.656,"Carlo Acutis es contenido devocional de santos, perfecto para Soy De Dios; aqui no hay enigma ni secreto, solo hagiografia.",https://www.youtube.com/watch?v=L_HOtiRESrc,https://studio.youtube.com/video/L_HOtiRESrc/edit
MOVER A CANAL HERMANO,desconectado,2415,El secreto del éxito_ Cómo manejar las adversidades de la vida - El DoQmentalista,2024-06-11,8.033,"Reflexion sobre manejar adversidades encaja en la linea fe/reflexion de Soy De Dios; en un canal de misterio es ruido con solo 2.4k vistas.",https://www.youtube.com/watch?v=NiZKuHdJEmg,https://studio.youtube.com/video/NiZKuHdJEmg/edit
MOVER A CANAL HERMANO,desconectado,1335,Lección de Caín: Evita la Maldición Eterna #shorts #enigma #documental,2025-09-02,5.468,"'Leccion de Cain: evita la maldicion' es consejo moral en formato predica; encaja en Soy De Dios, no en un canal de documentales de misterio.",https://www.youtube.com/watch?v=EmfQZvwH234,https://studio.youtube.com/video/EmfQZvwH234/edit
MOVER A CANAL HERMANO,desconectado,1122,Enoch: Sabiduría y Humildad para la Eternidad #shorts #enigma #documental,2025-09-02,4.724,"'Sabiduria y humildad' es leccion devocional sobre Enoch, no misterio sobre Enoch; pertenece a Soy De Dios.",https://www.youtube.com/watch?v=A7OGy8F_2Yw,https://studio.youtube.com/video/A7OGy8F_2Yw/edit
MOVER A CANAL HERMANO,desconectado,1021,Cómo Vencer a la Muerte: La Conexión Divina #shorts #enigma #documental,2025-09-02,6.268,"El framing 'conexion divina para vencer la muerte' es sermon de fe, no enigma: es material de Soy De Dios y aqui solo junto 1k vistas.",https://www.youtube.com/watch?v=YM5YwN4Uar0,https://studio.youtube.com/video/YM5YwN4Uar0/edit
MOVER A CANAL HERMANO,desconectado,710,Cómo Limpiar tus Cristales y Amuletos con Sal #shorts #secretos #sal,2025-09-02,4.789,"Tutorial practico de limpieza de cristales y amuletos es esoterismo aplicado: publico y formato de El Oraculo, no documental de misterio.",https://www.youtube.com/watch?v=HuzAUI22MeU,https://studio.youtube.com/video/HuzAUI22MeU/edit
MOVER A CANAL HERMANO,desconectado,687,Baños de Sal y Trucos para Proteger tu Hogar #shorts #secretos #sal,2025-09-02,5.095,"Trucos de proteccion del hogar con sal es how-to esoterico de El Oraculo; el DoQmentalista documenta misterios, no receta rituales.",https://www.youtube.com/watch?v=zDyKdusa9TE,https://studio.youtube.com/video/zDyKdusa9TE/edit
MOVER A CANAL HERMANO,desconectado,643,La Fe Vence a la Muerte: ¡Todo es Posible! #shorts #enigma #documental,2025-09-02,5.132,"'La fe vence a la muerte, todo es posible' es mensaje de aliento cristiano sin enigma alguno: material calcado de Soy De Dios.",https://www.youtube.com/watch?v=iejFNNYqo4M,https://studio.youtube.com/video/iejFNNYqo4M/edit
MOVER A CANAL HERMANO,desconectado,624,El Secreto de los Baños de Sal alrededor del Mundo #shorts #secretos #sal,2025-09-02,4.968,"Recorrido de banos rituales de sal es practica esoterica de bienestar, no documental de misterio: El Oraculo es su casa.",https://www.youtube.com/watch?v=7lZM9-_nYR0,https://studio.youtube.com/video/7lZM9-_nYR0/edit
MOVER A CANAL HERMANO,desconectado,474,La Sal: Un Secreto Milenario en Cada Cristal #shorts #secretos #sal,2025-09-02,6.118,"Cristales y energias en clave de uso personal pertenecen a El Oraculo; con 474 vistas moverlo es gratis.",https://www.youtube.com/watch?v=9IuAse3kUK0,https://studio.youtube.com/video/9IuAse3kUK0/edit
MOVER A CANAL HERMANO,desconectado,360,Descubre el Poder Mágico y Místico de la Sal #shorts #secretos #sal,2025-09-02,6.111,"'Descubre el poder magico' invita a usar la sal, no a investigar un enigma; formato y promesa de El Oraculo.",https://www.youtube.com/watch?v=2NEeEXBBavQ,https://studio.youtube.com/video/2NEeEXBBavQ/edit
MOVER A CANAL HERMANO,desconectado,347,Enoch: Caminar con Dios para Vencer a Muerte #shorts #enigma #documental,2025-09-02,6.052,'Caminar con Dios' es exhortacion devocional pura con 347 vistas: moverlo a Soy De Dios no cuesta nada y limpia la senal.,https://www.youtube.com/watch?v=-UaZuzWF37o,https://studio.youtube.com/video/-UaZuzWF37o/edit
MOVER A CANAL HERMANO,desconectado,305,Limpia tu Casa de Energías Negativas con Sal #shorts #secretos #sal,2025-09-02,7.869,"Limpia energetica de la casa es ritual practico paso a paso: formato de consejos de El Oraculo, ajeno al tono documental del canal.",https://www.youtube.com/watch?v=HoELgx_kOPc,https://studio.youtube.com/video/HoELgx_kOPc/edit
MOVER A CANAL HERMANO,desconectado,262,Feng Shui: Equilibra la Energía de tu Hogar con Sal #shorts #secretos #sal,2025-09-02,6.489,"Feng shui domestico es bienestar energetico sin misterio ni documento; encaja exacto en El Oraculo.",https://www.youtube.com/watch?v=ibnzAxBDeN4,https://studio.youtube.com/video/ibnzAxBDeN4/edit
RE-EMPACAR (rescatable),coherente,2332055,El Silbón: La Aterradora Leyenda que Aún Acecha - Historias de Terror Reales y Creepypasta,2016-09-14,1.158,"El Silbon es leyenda latinoamericana nuclear del nicho; conviene quitar 'Creepypasta' del titulo, palabra ajena que degrada un documental de leyenda seria.",https://www.youtube.com/watch?v=cL8BO_pQsbE,https://studio.youtube.com/video/cL8BO_pQsbE/edit
RE-EMPACAR (rescatable),puente_roto,839297,7 Lugares Escalofriantes del Mundo - Parte 1 Documental,2016-12-13,1.191,"Lugares malditos encajan, pero el formato lista '7 lugares - Parte 1' es de la era top-list; un titulo centrado en un lugar ancla podria revivirlo.",https://www.youtube.com/watch?v=csqFWtbh5Kc,https://studio.youtube.com/video/csqFWtbh5Kc/edit
RE-EMPACAR (rescatable),puente_roto,742258,Criaturas Misteriosas en Ecuador 👁️: Videos de Terror Real - El DoQmentalista,2017-04-02,1.132,"La criptozoologia encaja, pero el empaque 'Videos de Terror Real' es de la era recopilatoria 2017; retitulado como documental de criaturas de Ecuador reconectaria.",https://www.youtube.com/watch?v=k_YgboFrq_U,https://studio.youtube.com/video/k_YgboFrq_U/edit
RE-EMPACAR (rescatable),puente_roto,612748,¿Por Qué Los Menonitas o Amish Rechazan la Tecnologia? - Documentales Completos en Español,2017-10-14,1.175,"Con 612k vistas vale conservarlo, pero hoy se lee como reportaje cultural: retitulado como 'el enigma de la comunidad que rechaza el mundo moderno' reconecta con el pilar de comunidades hermeticas.",https://www.youtube.com/watch?v=eaZbBUXnrXI,https://studio.youtube.com/video/eaZbBUXnrXI/edit
RE-EMPACAR (rescatable),puente_roto,483680,Top 10 Ciudades Fantasmas Más Increíbles del Mundo: Lugares Abandonados y Misteriosos,2016-10-04,1.075,"Ciudades fantasma son territorio del canal, pero el envoltorio 'Top 10' es formato quemado de 2016; retitular hacia el misterio de un caso concreto podria reconectarlo.",https://www.youtube.com/watch?v=6r3qs8z5MtI,https://studio.youtube.com/video/6r3qs8z5MtI/edit
RE-EMPACAR (rescatable),coherente,122064,"Cómo Vuelan Las Brujas su secreto El Beleño, videos de entretenimiento, ¿Te animarias?",2020-07-23,4.588,"Brujeria e historia del beleño es nicho puro, pero el titulo con 'videos de entretenimiento, Te animarias?' sabotea el marco documental serio.",https://www.youtube.com/watch?v=ssQQI_6or5s,https://studio.youtube.com/video/ssQQI_6or5s/edit
RE-EMPACAR (rescatable),coherente,62711,TUTORIAL DE COMO HACER UN VIAJE ASTRAL,2020-05-25,8.451,"Viaje astral es paranormal del nicho y tiene el engagement mas alto del lote (8.45%), pero la palabra 'TUTORIAL' lo disfraza de video de otro genero; retitular como documental de misterio.",https://www.youtube.com/watch?v=NX86w7IQy9Q,https://studio.youtube.com/video/NX86w7IQy9Q/edit
RE-EMPACAR (rescatable),coherente,62074,Canobie Dick Y El Secreto Para Convertirse En Rey / EL DOQMENTALISTA,2018-05-20,3.705,"Canobie Dick es leyenda escocesa de pacto con el diablo (nicho puro), pero el titulo no dice 'leyenda' ni 'pacto' y por eso ni el filtro ni el espectador lo reconocen.",https://www.youtube.com/watch?v=PhdCYoo4oYI,https://studio.youtube.com/video/PhdCYoo4oYI/edit
RE-EMPACAR (rescatable),puente_roto,31260,"La Inteligencia Artificial, El Fin Del Mundo, Robots malvados",2020-01-28,6.398,"El angulo 'IA como fin del mundo' puede reconectarse al pilar de profecias apocalipticas con titulo tipo 'La profecia de las maquinas', hoy el titulo lo vende como video de tecnologia.",https://www.youtube.com/watch?v=iPj14hVA25M,https://studio.youtube.com/video/iPj14hVA25M/edit
RE-EMPACAR (rescatable),coherente,25827,Secreto Vaticano: Experimentos contra Dios. ASMR,2025-09-04,8.131,"Tema Vaticano puro, pero la etiqueta 'ASMR' en el titulo confunde al clasificador y a la audiencia; quitarla o moverla a la descripcion.",https://www.youtube.com/watch?v=OdXQKQ6Tsgs,https://studio.youtube.com/video/OdXQKQ6Tsgs/edit
RE-EMPACAR (rescatable),coherente,22284,Los Ángeles No Tienen Cuerpo Físico #youtube #tiktok #video #shorts,2023-07-01,17.501,"Angeles sin cuerpo fisico es tema central con 17.5% de engagement y 22k vistas; solo los hashtags del titulo dispararon el filtro, quitarlos.",https://www.youtube.com/watch?v=w10a2q4gCgw,https://studio.youtube.com/video/w10a2q4gCgw/edit
RE-EMPACAR (rescatable),coherente,12529,El trágico Destino de Santa Lucia #shorts #tiktok,2023-08-22,8.78,"El destino tragico de Santa Lucia es leyenda religiosa del nicho; quitar los hashtags '#shorts #tiktok' que ensucian el titulo y confundieron al clasificador.",https://www.youtube.com/watch?v=GqcD6fIJiFs,https://studio.youtube.com/video/GqcD6fIJiFs/edit
RE-EMPACAR (rescatable),coherente,12427,El Río Misterioso que Corre Bajo las Aguas del Mar #shorts #tiktok,2023-08-22,12.875,"Rio bajo el mar esta bien empacado como misterio y tiene 12.9% de engagement; solo necesita el titulo sin hashtags para que el tema quede limpio.",https://www.youtube.com/watch?v=NnYhGF9MMRU,https://studio.youtube.com/video/NnYhGF9MMRU/edit
RE-EMPACAR (rescatable),coherente,9837,¿Fantasía o Realidad? El Lago que Desaparece sin Dejar Rastro #shorts #tiktok,2023-08-22,12.199,"Lago que desaparece es misterio natural valido, pero el titulo con '#shorts #tiktok' fue lo que disparo el filtro: limpiar hashtags y reforzar el angulo de misterio.",https://www.youtube.com/watch?v=48VPZOMS4ew,https://studio.youtube.com/video/48VPZOMS4ew/edit
RE-EMPACAR (rescatable),coherente,9406,La Muerte No Es El Fin -#shorts #youtube #tiktok #video,2023-07-02,18.074,"'La muerte no es el fin' es paranormal/vida despues de la muerte con 18% de engagement; limpiar hashtags y darle un titulo que explote ese rendimiento.",https://www.youtube.com/watch?v=hCAehIw6ymw,https://studio.youtube.com/video/hCAehIw6ymw/edit
RE-EMPACAR (rescatable),coherente,8631,Vikingos En America - #video #youtube #viral #2023,2023-07-01,10.787,"Vikingos en America es historia alternativa/arqueologia prohibida; el titulo con '#viral #2023' esconde el tema y envejecio mal.",https://www.youtube.com/watch?v=boyZSyJUgGY,https://studio.youtube.com/video/boyZSyJUgGY/edit
RE-EMPACAR (rescatable),coherente,8221,Se casaron entre hermanos. #Shorts,2025-09-09,5.474,"Incesto dinastico (faraones, Habsburgo) es secreto oscuro de la historia y rinde bien (8.2k vistas, 5.5%), pero el titulo no dice de que epoca ni por que es misterio.",https://www.youtube.com/watch?v=66kJdzg_tJw,https://studio.youtube.com/video/66kJdzg_tJw/edit
RE-EMPACAR (rescatable),coherente,5439,Sexto Sentido. La verdadera historia. #shorts,2025-09-09,5.902,"Premoniciones y sexto sentido son paranormal puro, pero el titulo parece resena de la pelicula; renombrar con angulo de misterio real (casos documentados) para que clasifique.",https://www.youtube.com/watch?v=yVhWtCMJKwM,https://studio.youtube.com/video/yVhWtCMJKwM/edit
RE-EMPACAR (rescatable),coherente,4886,La Biblioteca Secreta Del Vaticano - #youtube #tiktok #video #shorts,2023-07-03,17.581,"Biblioteca secreta del Vaticano es nicho puro; el spam de hashtags '#youtube #tiktok' en el titulo causo el falso positivo y merece limpieza.",https://www.youtube.com/watch?v=Rlv_9HfoT5M,https://studio.youtube.com/video/Rlv_9HfoT5M/edit
MANTENER,coherente,13508202,"Conspiraciones: Triángulo de las Bermudas, 7 años perdido y el regreso",2016-12-27,1.051,"Triangulo de las Bermudas es misterio nuclear del nicho y con 13.5M vistas es el video mas grande del lote: activo estrategico, no problema.",https://www.youtube.com/watch?v=bEvMxkpb4Gc,https://studio.youtube.com/video/bEvMxkpb4Gc/edit
MANTENER,coherente,10892395,Gárgolas reales: el único sobreviviente contó lo que vio,2017-05-30,0.946,"Criaturas y paranormal encajan de lleno; con 10.9M vistas es pilar de watch-time del canal, intocable.",https://www.youtube.com/watch?v=wQzkvT8fxmU,https://studio.youtube.com/video/wQzkvT8fxmU/edit
MANTENER,puente_roto,7552139,Encuentran Chamán Convertido en Bestia: ¡Pedía que lo Mataran! 🐺🔮 - El DoQmentalista,2016-12-21,0.424,"Chaman-bestia es del universo tematico pero el engagement 0.424 (el peor del grupo) muestra desconexion total con la audiencia actual; sus 7.5M vistas de watch-time prohiben privarlo.",https://www.youtube.com/watch?v=VxuJZGymTOc,https://studio.youtube.com/video/VxuJZGymTOc/edit
MANTENER,puente_roto,4614609,¡Impactante! Encuentran a una Bruja Real Captada en Vídeo–Revelaciones Sobrenaturales que NO Creerás,2016-04-20,0.563,"Brujeria es ocultismo del nicho, pero el empaque 'captada en video que NO creeras' es fake-footage 2016 y el 0.563 de engagement lo delata; sus 4.6M vistas hacen demasiado caro privarlo.",https://www.youtube.com/watch?v=6c9SLQa21lI,https://studio.youtube.com/video/6c9SLQa21lI/edit
MANTENER,coherente,3663652,"Casas embrujadas reales: si sientes esto al entrar, huye",2016-08-05,0.764,"Casas embrujadas reales es paranormal de manual; 3.6M vistas confirman que el tema sigue siendo motor del canal.",https://www.youtube.com/watch?v=h9BWLLEKVM0,https://studio.youtube.com/video/h9BWLLEKVM0/edit
MANTENER,coherente,3306327,Sirena Varada: La Historia Completa Del Pacto De Los 3 Deseos,2018-05-14,1.028,"Leyenda de sirena y pacto de deseos con 3.3M de vistas, el segundo video mas visto del lote; el ratio bajo es efecto de audiencia fria masiva.",https://www.youtube.com/watch?v=HmZixkFiqB0,https://studio.youtube.com/video/HmZixkFiqB0/edit
MANTENER,coherente,3306172,¡Destapan la Tumba de Cristo por Primera Vez en Siglos! ✝️🕊️ Un Descubrimiento Histórico,2017-04-14,0.635,"Apertura de la tumba de Cristo es Biblia + arqueologia, nucleo del nicho; 3.3M vistas hacen impensable ocultarlo pese al engagement anemico.",https://www.youtube.com/watch?v=wixS89qm1_w,https://studio.youtube.com/video/wixS89qm1_w/edit
MANTENER,coherente,2799310,"🔥 EL RITUAL SECRETO DE LOS MASONES: Sacrificios, Poder y Control Mundial | El Vaticano Tiembla 😱",2017-07-09,1.25,"Masones, rituales y Vaticano es nicho nuclear y es el video mas visto del lote (2.8M); el engagement 1.25% refleja la era 2017, no incoherencia.",https://www.youtube.com/watch?v=7X-aAB4matI,https://studio.youtube.com/video/7X-aAB4matI/edit
MANTENER,puente_roto,2662113,¡Increíble! Sirenas Reales Captadas en Vídeo: ¿Pruebas de Su Existencia?,2016-06-11,0.526,"Sirenas caben en el universo, pero el formato 'captadas en video real' es la era fake-footage que el canal supero y el 0.526 de engagement lo confirma; 2.6M vistas de historial valen mas que la limpieza.",https://www.youtube.com/watch?v=NteeHiYA69A,https://studio.youtube.com/video/NteeHiYA69A/edit
MANTENER,coherente,2552145,Demonios de la Biblia: Lucifer nunca fue el nombre del diablo,2016-11-20,0.901,"Demonologia biblica con dato revisionista (Lucifer no es el nombre del diablo) es exactamente lo que el canal vende hoy; 2.5M vistas.",https://www.youtube.com/watch?v=qrzXNEifE4Q,https://studio.youtube.com/video/qrzXNEifE4Q/edit
MANTENER,puente_roto,2347725,Regalan una Casa Embrujada a Quien Sobreviva una Noche en Ella 👻🏚️ - El DoQmentalista,2017-01-14,0.767,"Tema paranormal valido pero formato noticia-viral de reto que el canal ya abandono; 2.3M vistas de historial justifican no tocarlo.",https://www.youtube.com/watch?v=fClCLpf_xC0,https://studio.youtube.com/video/fClCLpf_xC0/edit
MANTENER,coherente,2172268,El Tesoro que Era del Diablo 👹💰 - Historias de Terror y Leyendas Mexicanas,2017-05-05,0.737,"Leyenda mexicana con el diablo como eje: cruza leyendas y ocultismo, justo el publico latinoamericano objetivo, con 2.1M vistas.",https://www.youtube.com/watch?v=7H2_rqNncc0,https://studio.youtube.com/video/7H2_rqNncc0/edit
MANTENER,coherente,1921163,"La Ira de Dios 🔥: Sodoma y Gomorra, Apocalipsis y Destrucción - El DoQmentalista",2017-03-14,0.989,"Sodoma y Gomorra con apocalipsis es Biblia y profecia pura, tema que el canal sigue explotando hoy; 1.9M vistas.",https://www.youtube.com/watch?v=1Z3f2Y9xkuY,https://studio.youtube.com/video/1Z3f2Y9xkuY/edit
MANTENER,coherente,1718412,El Misterio del Triángulo de las Bermudas: Secretos Ocultos y Videos Misteriosos,2016-06-18,0.815,"Segundo video de las Bermudas, misterio nuclear; junto con el de 13.5M forma un cluster tematico que refuerza la autoridad del canal en el tema.",https://www.youtube.com/watch?v=x57jGY0qY8o,https://studio.youtube.com/video/x57jGY0qY8o/edit
MANTENER,coherente,1690828,Medalla de San Benito: el exorcismo secreto grabado en sus letras,2020-12-21,3.903,"Exorcismo y simbologia catolica con 1.69M de vistas: es uno de los pilares historicos del canal, intocable.",https://www.youtube.com/watch?v=Ebuoxx6TblY,https://studio.youtube.com/video/Ebuoxx6TblY/edit
MANTENER,coherente,1661905,"Hombre Lobo: Si Sus Ojos Brillan en la Oscuridad, Ya Es Demasiado Tarde",2016-07-05,0.842,"Hombre lobo es criptozoologia y leyenda clasica del nicho, tema que el publico de misterio sigue consumiendo; 1.6M vistas.",https://www.youtube.com/watch?v=R79eNciPRSc,https://studio.youtube.com/video/R79eNciPRSc/edit
MANTENER,coherente,1541374,La Hija Secreta de Jesús: el Pueblo de Francia que Aún la Venera,2017-07-03,0.908,"Secretos de la Biblia (linaje de Jesus y Rennes-le-Chateau) es nucleo del nicho actual; el engagement bajo es por antiguedad, no por tema, y 1.5M vistas respaldan.",https://www.youtube.com/watch?v=f18kW5zRPKA,https://studio.youtube.com/video/f18kW5zRPKA/edit
MANTENER,coherente,1522234,Bruja Nahual: el niño que la vio transformada y vivió para contarlo,2017-11-18,0.854,"Bruja nahual es brujeria + leyenda mexicana, doble pilar del nicho, con 1.5M de vistas de historial.",https://www.youtube.com/watch?v=5bIxGzaUc9I,https://studio.youtube.com/video/5bIxGzaUc9I/edit
MANTENER,coherente,1442338,Animales que Anuncian la Muerte: Señales Paranormales y Avisos del Más Allá - Vídeos de Terror en HD,2016-10-14,0.832,"Animales como presagios de muerte es superstision y paranormal del nicho; solo le sobra la coletilla 'Videos de Terror en HD' pero el tema es plenamente vigente.",https://www.youtube.com/watch?v=8ex5eE_hEHY,https://studio.youtube.com/video/8ex5eE_hEHY/edit
MANTENER,coherente,1374925,Teletransportación: el estudio secreto de la Fuerza Aérea de EEUU,2016-07-19,0.8,"Estudio secreto militar de teletransportacion es conspiracion/paranormal del nicho; 1.37M de vistas pesan mas que su engagement de era 2016.",https://www.youtube.com/watch?v=lv0TZy6Z6aM,https://studio.youtube.com/video/lv0TZy6Z6aM/edit
MANTENER,coherente,1280257,El Silbón: mató a su padre y fue condenado a cargar sus huesos,2023-06-27,1.172,"El Silbon es leyenda latinoamericana nuclear con 1.28M de vistas en 2023: el engagement bajo es tipico de alcance masivo por sugeridos, no de incoherencia.",https://www.youtube.com/watch?v=Esa9Nr955OE,https://studio.youtube.com/video/Esa9Nr955OE/edit
MANTENER,coherente,1257711,El Sacerdote Que Vio el Pasado y Murió Sin Revelar el Secreto,2017-09-01,2.385,"El cronovisor del padre Ernetti es misterio Vaticano clasico con 1.25M de vistas; el filtro fallo por 'sacerdote'.",https://www.youtube.com/watch?v=zV9vSPkYbes,https://studio.youtube.com/video/zV9vSPkYbes/edit
MANTENER,coherente,1210007,El Experimento Secreto para Hablar con Dios: Terminó en Horror,2018-03-13,2.231,"Experimento para hablar con Dios que termina en horror combina ciencia prohibida y lo divino; 1.2M de vistas de historial valioso.",https://www.youtube.com/watch?v=iKFy-iQHoM8,https://studio.youtube.com/video/iKFy-iQHoM8/edit
